Temperature (K)	Luminosity(L/Lo)
3068	0.0024
3042	0.0005
2600	0.0003
2800	0.0002
1939	0.000138
2840	0.00065
2637	0.00073
2600	0.0004
2650	0.00069
2700	0.00018
3600	0.0029
3129	0.0122
3134	0.0004
3628	0.0055
2650	0.0006
3340	0.0038
2799	0.0018
3692	0.00367
3192	0.00362
3441	0.039
25000	0.056
7740	0.00049
7220	0.00017
8500	0.0005
16500	0.013
12990	0.000085
8570	0.00081
7700	0.00011
11790	0.00015
7230	0.00008
39000	204000
30000	28840
15276	1136
9700	74
5800	0.81
8052	8.7
6757	1.43
6380	1.35
5936	1.357
5587	0.819
3826	200000
3365	340000
3270	150000
3200	195000
3008	280000
3600	320000
3575	123000
3574	200000
3625	184000
33750	220000
3490	270000
3750	283000
3834	272000
3749	550000
3650	310000
3450	263000
3660	363000
3450	174000
3752	209000
3535	195000
3341	0.0056
3432	0.00067
2983	0.00024
2835	0.00034
2935	0.00014
3295	0.00098
2945	0.00032
2817	0.00098
2774	0.00036
2871	0.00072
3345	0.021
3607	0.022
3304	0.0085
3150	0.0088
3550	0.004
3180	0.001
2890	0.0034
3342	0.0015
2621	0.0006
3158	0.00135
7100	0.00029
10574	0.00014
8930	0.00056
17200	0.00098
14100	0.00067
9675	0.00045
12010	0.00078
10980	0.00074
13720	0.00018
19860	0.0011
5300	0.59
4526	0.153
4077	0.085
4980	0.357
9030	45
11250	672
5112	0.63
7720	7.92
12098	689
36108	198000
33300	240000
40000	813000
23000	127000
17120	235000
11096	112000
14245	231000
24630	363000
12893	184000
24345	142000
33421	352000
3459	100000
3605	126000
3615	200000
3399	117000
3610	132000
3553	145000
4015	282000
3625	74000
6850	229000
3780	200000
3323	0.00043
3531	0.00093
3218	0.00054
3146	0.00015
3511	0.00064
3225	0.00076
2935	0.00087
2861	0.00019
2856	0.000896
2731	0.000437
3095	0.00019
3607	0.00023
3100	0.008
2989	0.0087
3542	0.0009
3243	0.0023
3091	0.0081
3598	0.0011
3324	0.0034
3541	0.0013
13420	0.00059
21020	0.0015
18290	0.0013
14520	0.00082
11900	0.00067
8924	0.00028
12912	0.00071
14732	0.00011
7723	0.00014
12984	0.00088
29560	188000
8945	38
14060	1092
16390	1278
25070	14500
28700	16790
26140	14520
20120	4720
13023	998
37800	202900
25390	223000
11567	251000
12675	452000
5752	245000
8927	239000
7282	131000
19923	152000
26373	198000
17383	342900
9373	424520
3570	320000
3500	138000
4287	630000
26000	316000
3600	240000
3614	145000
18000	200000
11000	170000
12100	120000
24490	248490
2831	0.000231
2914	0.000631
3419	0.000245
3218	0.000452
3453	0.000621
2889	0.000352
2968	0.000461
3484	0.000551
2778	0.000849
3523	0.000957
3462	0.0053
3257	0.0024
2994	0.0072
3212	0.0016
3523	0.0054
3598	0.0027
3142	0.00132
3496	0.00125
3324	0.0065
3463	0.0027
16790	0.0014
15680	0.00122
14982	0.00118
13340	0.00109
18340	0.00134
19920	0.00156
24020	0.00159
23092	0.00132
17920	0.00111
19360	0.00125
22350	12450
10012	552
13089	788
22012	6748
34190	198200
32460	173800
9320	29
19400	10920
17140	883
8250	9.25
23678	244290
12749	332520
9383	342940
23440	537430
16787	246730
18734	224780
9892	593900
10930	783930
23095	347820
21738	748890
24145	382993
38234	272830
32489	648430
27739	849420
21904	748490
38940	374830
30839	834042
8829	537493
9235	404940
37882	294903
